timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time
1548206355115,12478,1468,5163,6915,3829,3479,1519,5525,1,6,1548206354115.0,1.0,107.466
1548206356117,3736,11065,5562,10427,4252,4589,3120,12296,1,6,1548206355115.0,1.002,108.468
1548206357123,5590,3330,6675,4045,4363,6682,2912,8345,1,6,1548206356117.0,1.006,109.474
1548206358089,3224,6349,7072,5770,3775,3030,5926,6433,1,6,1548206357123.0,0.966,110.44
1548206359096,4181,10081,2375,3715,856,2047,219631,60943,1,6,1548206358089.0,1.007,111.447
1548206360087,43027,36088,27259,15574,4857,27780,2433854,83254,1,6,1548206359096.0,0.991,112.438
1548206361073,304,2076,1439,2644,739,649,411972,40211,1,6,1548206360087.0,0.986,113.424
1548206362091,6160,8014,1687,6966,2676,2415,139297,72402,1,6,1548206361073.0,1.018,114.442
1548206363080,5395,3267,2522,1580,880,2238,86884,18143,1,6,1548206362091.0,0.989,115.431
1548206364055,25060,11622,31853,10887,5598,4626,2280919,64787,1,6,1548206363080.0,0.975,116.406
1548206365073,5603,10557,3413,3731,6129,3391,216123,23822,1,6,1548206364055.0,1.018,117.424
1548206366053,1786,8928,3463,4349,2906,4868,207287,13088,1,6,1548206365073.0,0.98,118.404
1548206367093,10300,8383,21784,38733,16434,7164,122241,111115,1,6,1548206366053.0,1.04,119.444
1548206368042,59505,221603,42580,44803,9179,24594,1982248,568429,1,6,1548206367093.0,0.949,120.393
1548206369040,15836,11978,25492,33138,10611,13356,222420,77107,1,6,1548206368042.0,0.998,121.391
1548206370045,12517,11824,8880,15118,2553,3580,69198,26418,1,6,1548206369040.0,1.005,122.396
1548206371044,6542,5008,3533,5049,1369,3015,257455,40255,1,6,1548206370045.0,0.999,123.395
1548206372031,14495,10306,19044,10749,9081,3889,5467,10991,1,6,1548206371044.0,0.987,124.382
1548206373031,14657,2304,8449,4798,2440,4293,155723,36094,1,6,1548206372031.0,1.0,125.382
1548206374037,2990,10147,7583,1914,3658,8086,166368,23044,1,6,1548206373031.0,1.006,126.388
1548206374999,20638,7686,12836,15315,16405,17029,1151704,178450,1,6,1548206374037.0,0.962,127.35
1548206375997,5555,12536,3066,5626,4620,3217,319993,39823,1,6,1548206374999.0,0.998,128.348
1548206377014,45843,77517,20904,14476,4542,7192,1373622,257557,1,6,1548206375997.0,1.017,129.365
1548206377982,1264,6804,2235,3436,1232,1718,227831,10891,1,6,1548206377014.0,0.968,130.333
